,고객,감정,리뷰
24,637.0,보통,항상친절해요. 아바라로 먹으려고 시럽 추가했는데 계산만 되고 시럽 1도 없었어요ㅠ
25,651.0,나쁨,슈크림 판나코타 시켰는데 슈크림라떼 줌 코로나때메 테이크아웃해서 버스타고 와서 먹어보니 그때 알았음 항의하러도 못감 주문하 는 사람도 없었고 사이렌오더로 주문해서 못 알아들을 수도 없는데 더 저렴한거 줌 딴사람 리뷰에도 다른 음료줬다는 글 보니 한두번 이 아닌거 같고 사기당했음 완전 짜증 행사 마지막날이라 이제 먹지도 못하는데 기분 드러움 심지어 슈크림라떼도 드럽게 맛...
26,656.0,나쁨,직원이 매우 불친절 합니다 바쁜건 알겠는데 정색하면서 말하네요
27,695.0,나쁨,위치애매함. 그닥 좋은 이미지를 못받음.
28,778.0,나쁨,화장실 너무 멀어요 ㅋㅋㅋㅋ 미로인줄 ㅋㅋ 직원분들도 친절하진 않으시네용 ㅜㅜ
29,779.0,나쁨,엘베 있어 좋음. 2 3층만 운영해서 아쉽
30,787.0,나쁨,동대문역사공원점 스타벅스는 역 8번 출구는 맞지만 50m가 아니고 약15m입니다.
31,807.0,나쁨,돌체라떼가 너무썼어요ㅠ
32,818.0,나쁨,이 지점 외부음식 반입 불가능해요. 주문전에 말 안해주고 주문 후에 달려와서 말해주시는 센스 어이없었어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
33,831.0,나쁨,빈 소독제 좀 채워 놓길
34,903.0,나쁨,직원이 반말하는 곳 최악
35,922.0,나쁨,좀 아쉽네요 충전할곳도 없고 ㅠㅠ
36,924.0,나쁨,주차 불가능. 최강 강남구는 도로에 정차된 차도 꼴뵈기 싫어함. 10분 뒤에 바로 딱지 날라옴. 쇼파 콘센트 없음. 스텐드 바에 콘센트 따로 있음. 작업하기 불편. 클럽앞이라 그런지 썸타는 애들 무쟈게 많이 옴. 다들 밀당 심리전 장난아님. 듣기싫어도 매장이 조그만해서 다들림. 진상많은 논현동 답게 직원들 항상 풀죽어있음. 표정 다 죽어감. ...
37,931.0,나쁨,별 반개도 아까움 항상 바빠서 정신없는 곳 드라이브스루로 주문했는데 바닐라라떼 시럽을 빼먹고 음료를 줌 600원 떼임 다신 안갈곳 꼭 음료 확인하시길
38,936.0,나쁨,포스에서 주문받던 남자직원분 너무 불친절해요 음료만들어주는 여자분은 친절했는데 기분이 상해서 다신안올라구요
39,1049.0,나쁨,차이라떼시켰는데 너무 달아서 못마실정도.. 3층에서 일할려구하는데 시끄럽고 사람너무 많구.. 스타벅스라 그려려니 했는데 전기코드가 되는게 없다. 어이가 없는데 이미 라떼 사버려서 그냥 있어야겠네.. 스타벅스는 역시 오는게 아니었다.
40,1072.0,나쁨,스벅 불매해야 합니다. 기프티콘 때문에 오늘은 갔지만...
41,1098.0,나쁨,스벅대란 카드.포스 불통
42,1103.0,나쁨,"티를 좋아해서 시켰는데, 별로 안 우러나온 상태에서 티백도 없이 주셨어요. ㅠㅠ 원래 그런 거라면 좀 더 우려서 주셨으면 좋았을 것 같아요."
43,1112.0,보통,몇몇 사람들이 마스크 안쓰고 대화하는데 신경도 안씁니다 테이블 닦으려고 지나가도 마스크 쓰라는 이야기를 안합니다 그거 빼고는 다 좋아요
44,1122.0,나쁨,비 엄청와서 와이프와 애기 때문에 차 에 우산좀 가지러 가려고 우산잠깐 빌려달랬더니 우산이없어요 저도퇴근할때우산사야해요 직원이 몇명인데 .... 그렇게 말씀하실 필요가 있을까요? 빌려달라는 저도 진상이지만 스타벅스 대단하지 않네요
45,1156.0,나쁨,일요일이라 사람없고 여유로워서 좋았는데 음료가 다른 매장에비해 너무 맛이없어서 깜짝놀램. 애플망고요거트 뭔가 매뉴얼대로 제대로 안만들어졌어요... 직원들도 일욜이라 그냥 수다떨고 대충대충 하는느낌 ㅠ
46,1164.0,보통,모든게 다 좋아요 단...오픈시간이 오전10시라니....하...
47,1179.0,나쁨,"카운터에 계신 여자분 표정, 말투가 너무 불쾌하고 기분 나빠요."
48,1193.0,나쁨,"예전부터 갈때마다 느꼈던건데, 키작은 여자 알바생 말좀 친절하게 해주세요. 되게 까칠하게 말하셔서 아침부터 기분 좋지 않네요."
49,1201.0,나쁨,매장 직원들 전부 불친절
50,1203.0,나쁨,화장실이 다른 건물에 있고 너무 낡고 오래돼서 좀 아쉽네요
51,1220.0,나쁨,지점마다 좀 맛이 다를순있지만 여기는 좀 쓰다
52,1247.0,나쁨,직원 겁나 불친절함 게다가 종이빨대 그지같음 웬만하면 그냥 넘어가는데 자바칩 먹다가 종이를 먹는건지 친환경이고 뭐고 종이빨 대 이후로 스벅 이용하기 싫어졌음 뜨거운 커피는 빨대를 내돈주고 플라스틱 주문해야되고 고객이 음료를 얼마나 잘 먹을 수 있게 하 냐가 중요하지 진짜 음료도 싼 편도 아니면서 이번뿐만이 아니라 매번 그럼 진짜 짜증나서 음료를 먹다 짜증나서 쓰레기통에 ...
53,1265.0,나쁨,현금 안 받는 거 좀 별로예요
54,1320.0,나쁨,와이파이가 자주 끊기네요 ㅠㅠ
55,1331.0,나쁨,직원이 좀 불친절한 거 빼곤 좋네요
56,1354.0,나쁨,"매우 별로 조차도 주고 싶지 않은 직원의 응대가 참 아쉽다. 리뉴얼 후에 첨 왔는데 직원이 어쩜 말을 저렇게 예의없게 하는지 참 황 당하다. 기본적으로 서비스업인 것을 인지하시고 조금 부드럽게 고객에게 응대해야하지 않을까, 절대 다시 마주하고싶지 않은 타입 의 사람이다. 기본적으로 태도가 얼마나 중요한지 저런 사람을 보고다시 깨닫게 되는 것 같다. 스타벅스 참 좋아하는데 저런 ..."
57,1383.0,나쁨,직원이 너무 불친절합니다 짜증섞인 말투 명령조 아 여기 뭡니까????
58,1385.0,나쁨,리저브담당 남자직원 굉장히 불친절해서 불쾌합니다.
59,1389.0,나쁨,시끄러움 2층은 진짜 엉망임
60,1448.0,보통,"매장 이용시 QR코드 인증후 입장, 파트너 직원분들은 친절하시고 음료도 무난하게 맛있었지만 화장실이 내부에 없고, 마스크 안 쓴채로 시끄럽게 이용하는 사람들이 대부분이라 아쉽게 느껴집니다."
61,1503.0,나쁨,스타벅스 매장중 제일별로예요
62,1510.0,나쁨,스벅중 가장 불친절
63,1546.0,나쁨,배토리없으면 지하철못타서 정중하게 충전 잠시부탁드렸는데 남자 직원이 충전따로 안된다고 안해주시네요.. 그렇게 어려운부탁인가요? 커피시킨거후회하면서 일회용 교통카드 끊으러가네요
64,1553.0,나쁨,직원들 불친절함 바쁜건가?
65,1582.0,나쁨,공부하는 사람이 너무 많음 조용한 분위기가 형성되어 괜히 나까지도 조용해야될것같음 불편함
66,1596.0,나쁨,실망입니다 커피맛도 별로네요
67,1622.0,나쁨,파트너가 불친절하고 오더대로 음료를 안 만들어주기도 해요
68,1645.0,나쁨,커피가 전체적으로 탄맛이 심해요 심해도 너무심해요 다른원두인가싶을정도로 로스팅이 ...ㅂㄹ당 너무심해서 다시했지만 물만 많 이넣은 탄...맛은그대루 ㅠ아쉬워요 매장이 넓고 깨끗해서 참좋은데 커피맛이 아쉽긴 ㅠㅠ
69,1695.0,나쁨,여기 GT타워 1층에 있는 곳인데 거의 Take out 위주 ? 에요. 좌석 수가 별로 없고 열린공간이라 앉아서 여유롭게 있기 불편해요.
70,1698.0,나쁨,항상 언제나 시끄러워요
71,1782.0,나쁨,별로ㅜ 카운터분 앞주문고개ㄱ에게 짜증부림ㅜ
72,1786.0,나쁨,이렇게까지 불친절할 필요가 있나 싶은
73,1850.0,나쁨,진짜 어린버리 직원들덕에 여러번 결제시도합니다..ㅠㅠ
74,1879.0,나쁨,맛도 서비스도 친절함두 별로임
75,1881.0,나쁨,"직원들 너무 불친절함 집근처에 있어서 어쩔수없이 가지만 갈때마다 불친절에 최대한 안가려고 한다 전에는 코로나 2.5단계 첫 시행 하는 날이였는데 잠시들어오지말고 기다리는걸 손으로 크게 엑스자를 표시하더라 아니 시행첫날이고 당황하고 다 알겠는데 서비 스 하는 곳에서 사람한테 엑스자는 좀 아니지 싶다 , 나의 오래걸리냐는 물음에 시간 몇분 정도 걸릴거같아요라던가 아니면 시..."
76,1882.0,나쁨,새건물인데도 화장실이 너무 별로ㅜ 항상 바닥이 젖어있고...ㅜ 그리고 직원들이 불친절해요.. 많이 갔는데 거의 모든 직원들이.. 스벅 은 어느 지점이든 대부분 친절해서 좋아하는데 여기선 못느껴봄.. 자리도 공부하는 분들 많아서 오후 1시 넘어가면 없어요 ㅋㅋ 근데 공부하는 분 많은데도 불구하고 엄청나게 시끄럽다는 아이러니
77,1884.0,나쁨,같은 스타벅스인데 이렇게 맛이 다를 수가 있나요 탄맛이 너무 세서 반도 못 먹고 버렸어요
78,1898.0,나쁨,이게 6100원이라고? 장난하냐
79,1912.0,나쁨,앞 사람이 너무 진상이라 한 10분은 기다렸다
80,1916.0,나쁨,여자 직원 불친절함
81,1923.0,나쁨,서비스 별로 안친절
82,1962.0,나쁨,라떼가 넘 연해요 ㅡㅡ
83,1963.0,나쁨,파트너 테디님의 고객응대 서비스 쿠폰 적용 부분에 있어 자세히 설명 안해줌. 바쁘면 다른 파트너에게 처리할 수 있도록 제시도 안해줌. 굉장히 무안하게 함.
84,1975.0,나쁨,자리잡기도전에 qr코드인증이라고 난리심..
85,2007.0,나쁨,바빠서 힘드신건 알겠는데 친절하게 응대해주셨으면 좋겠네요
86,2040.0,나쁨,인원은많은데 앉을곳은 없어 그룹져서 서있으니까 불만있으신듯? 짜증나여?
87,2067.0,나쁨,음료가 너무 달아요. 이번시즌음료.. 초코 녹차
88,2102.0,나쁨,"알바생인지 직원인지 모르겟ㅈ만 말투 너무 틱틱 별로네요 Loo라고 적혀잇엇던듯 ,, 다음엔 좀 친절하게 해줄필요잇는듯"
89,2135.0,나쁨,라떼맛이 너무너무너무 흐릿함 그흔한 피지물은 매진
90,2158.0,나쁨,"건물 어떻게 된건지 바깥에서 버스가 지나갈 때마다 건물이 진동한다..!! 무서워서 있을 수가 없다. 리저브 매장 치고는 매장이 지저분하다. 총 4충인데 관리 인원이 적어보인다. 자리ㄷ 별로 없고, 앉아서 온전히 책 읽기가 힘들다."
91,2167.0,나쁨,스벅 마끼아또 사랑 합니다. 허나 누가 탔는지 정말정말 맛없게 먹었어요. 커피도 물도 우유도 아닌 별반개도 아까운 맛이요. 같은 재 료 같은 레시피로 어떻게 이렇게 만드는지 돈이 넘 아깝습니다
92,2173.0,나쁨,지나가는길에 사이렌오더로 DT 주문했는데 음료 받아가는데 40분 정도 대기함. 심지어 크림폼 올라간 음료 주문했는데 폼도 없고 음료는 다 식어있고 다신 안올듯
93,2179.0,나쁨,젤 가까운 곳이라 간간이 들리는데 오늘 캐셔 불친절
94,2228.0,나쁨,이건 커피가 아니라 맹물이야
95,2268.0,나쁨,"알바 불친절 한 편 2021, 04, 04 오후 3시타임"
96,2299.0,나쁨,"사람 언제나 많음, 커피맛 별로 ㅠㅠ"
97,2310.0,나쁨,직원 목소리가 너무 작음 마스크 쓰고 있어서 감안하지만 내가 몇번이나 되물었고 불친절
98,2326.0,나쁨,먹어본 블랙티 피지오중에 제일 맛없어요 프라푸치노는 제대로 갈리지도 않아서 주네요 아무리 바쁘다해도 음료 상태가 너무하네요
99,2342.0,나쁨,불친절. 케이크 먹고 있는데 중간에 마스크 썼다벗었다 하란다. 주문할 때 고지도 안하고. 버스 놓쳐서 잠깐 요기하러 왔다 입에 쑤셔 놓고 나옴. 마스크 턱에 내려놓고 떠드는 남자 둘은 제재안하더만.
100,2353.0,나쁨,여기 가지 마세요 엄청 불친절 비위생 다른 스타벅스 가세요!
101,2368.0,나쁨,자리가 부족해. 웨이팅을 한참이나 했지만 커피맛은 좋습니다
102,2396.0,나쁨,계산 미숙하고 에어컨이 쎄요 가게도 넓지는 않구 노래소리가 커요
103,2417.0,나쁨,점원이 약간 불친절해요...
104,2420.0,나쁨,우유양이 많게 느껴 졌어요
105,2427.0,나쁨,동네 스타벅스라 가는데 지금껏 가본 스타벅스 중 가장 안 친절한듯
106,2432.0,나쁨,카드매장이라며 헌금안받는곳!!!
107,2448.0,나쁨,음료빨리 안가져가면 개혼남. 음료나왔습니다아앙악!!!!!!!!!!!
108,2453.0,나쁨,텀블러 잘보고 사세요 다른사람 쓰던것도 가져다 놓고 팔고있고 반품하니 띠꺼운 표정으로 응대하네요
109,2454.0,나쁨,자주오는곳인데 오늘은 직원들이 별로네요
110,2464.0,나쁨,불편해요 화장실이용하기도 돌아가야하고 출입구도 미끄럽고 좌석도 이인석뿐이고 먹고있는데도 마스크 써달라하고?
111,2487.0,나쁨,콘센트가 너무 심하다 싶을 정도로 없다. 전기가 필요하면 무조건 불편한 자리에 앉아야 한다.. 그마저도 경쟁이 치열하다.
112,2489.0,나쁨,커피먹다가화장실이너무급해서 양해좀구하고 가도되냐고 사정해도 청소해야된다고하셔서 그러다 참고기다리다가 한번더갔습니다 그럼언제끝나냐고물어도 시간도모른다고하시고 시간이라도알려주시면안되는건가요? 결국 지하철돈내고 지하철화장실다녀왔네요 ? 다시는안올것같네요 너무불친절하네요
113,2496.0,나쁨,말투가 별로인 직원이 있어요
114,2543.0,나쁨,매번가는데 매번 음료신경부족 ㅠ
115,2560.0,나쁨,세번방문했는데 두번은 기분이 별로네요.고객이 주문이 미숙하면 친절하게 설명해주면 좋겠네요.
116,2563.0,나쁨,접근성이 좋아서 가끔 이용하는데 직원들은 바껴도 늘 한결같음.
117,2575.0,나쁨,"내 최애 아몬드바나나는 또 언제 나오나요..ㅜㅜ? 도심공항점은 진짜 매장은 겁나 작은데 사람은 바글바글. 식후 커피 마시러 들렸다 가 회사 친구들이랑 정신 없다고, 걍 코엑스점으로 이동함."
118,2594.0,나쁨,리저브쪽 바리스타 불친절하고 커피 대충 내림
119,2600.0,나쁨,손님을 귀찮아하는 게 너무나 잘 보이는 직원 자리도 없음
120,2613.0,나쁨,리저브 매장에서는 바에서 먹으러면 리저브 음료를 주문해야만하나봐요 일반 음료 주문한 사람들은 매장에서 먹고 싶어도 자리가 없을땐 어떻하나요? ... 코로나로 좌석도 거리를 두워야하는 시기에도 불구하고 앉으면 안된다고 하네요 먹을땐 마스크착용할 수 없는데 말이죠 몇천원차이 주문 음료때문에 ㅠ... 리저브음료주문한 고객들은 매장에서 무조건 바에서만 마셔야하나봐요?
121,2695.0,나쁨,직원이 조오오오오온나 불친절해요 불친절의 끝판왕ㅋㅋㅋ 스타벅스면 이름있는곳인데 이따구로할거면 접으세요...ㅋㅋㅋ 대표님이 돈이 아무리많아도 사람갖고 장난칠정도로 직원교육 뭣같이하면 인간성이 덜된겁니다. 교육이 중요한거에요... 나 없어도 손님많죠? 아무렇지 않겠지만 당신... 반성은 해 ㅎ
122,2696.0,나쁨,"계산대 두개 운영하셔서 한곳에 서서 기다리고있었고 앞에분 주문 끝나고 서버분 음료 만드실때 까지 기다렸는데, 한참 나중에 와서는 여기서 지금 계산 안되니 옆으로 줄서라고 하셔서 옆에 줄에 다시 줄섰어요. 미리말해주던가. 많이 불쾌했습니다."
123,2726.0,나쁨,별로에요. 잘 못만들어요. 항상 먹던거 시키는데 여기는 한입 먹고 깜짝 놀랐어요... 이상한 맛
124,2748.0,나쁨,일요일 저녁에 방문했는데 주문할 때 별로...친절하진 않네요
125,2766.0,나쁨,머리 짧으시고 안경쓰신 남자 직원분 말투에 짜증이 섞여있고 굉장히 불친절해요. 무서워서 못 오겠어요.
126,2781.0,보통,여느 스타벅스와 차이가 없네요
127,2782.0,나쁨,난 스타벅스 골드회원이다. 몇일전 지나는 길에 마셔본 상도역점 커피맛은 내가 마셔본 스타벅스중 최악이었다. 마치 맹물 마시는 느 낌이랄까.. 가성비로 볼때 편의점 커피보다 못한 맛이다. 바리스타의 실수가 있을 수도 있겠다 싶어 오늘 다시 방문하여 혹시나 하는 마음에 다시 세 잔을 사서 마셔보았으나 역시 상도점 커피 맛은 변함이 없었다. 니맛도 내맛도 아닌 이상한 맛! 스타벅스라고 ...
128,2787.0,나쁨,카페인가 독서실인가
129,2805.0,나쁨,오지게 시끄러움. 내 말 소리도 안들림
130,2828.0,나쁨,주문을 두번이나 잘못받으셔서....
131,2852.0,나쁨,얼음이 다른 스벅이랑 다른것 같기도....? 진짜 양 안그래도 적은데 더 적은 느낌
132,2884.0,나쁨,쿨라임 치약맛 나머진 역쉬 스타벅스
133,2922.0,나쁨,남자직원이참.. 너알아서해라 식이네요..ㅎㅎ
134,2927.0,나쁨,괜찮은데 갈때마다 좁아서 자리가 없어용 ㅠ
135,2937.0,나쁨,별도 아까웃집입니다. 양도 적고 닭도 맛 없어요
136,2949.0,나쁨,공간은 넓고 좋아요. 파트너님께서 기프트콘 사용하면 현금영수증 되는거 안챙겨주셔서 못할뻔 했네요 다른 지점에서는 그런적이 없는데 ㅠㅠ 무튼 아쉽 ㅎㅎ 아메리카노 쏘쏘 스벅의맛
137,2976.0,나쁨,좌석도 불편하고 사람도 많고
138,3027.0,나쁨,커피도 미지근하고 머그컵관리도 별로고 직원들도 실수가 많아서 별로에요
139,3051.0,나쁨,스벅중에 최악 직원들
140,3063.0,나쁨,갈때마다 너무시끄러워서 시장바닥같아요ㅋㅋ
141,3093.0,나쁨,화장실도 못 쓰게 하다니
142,3094.0,나쁨,진짜 ㅋㅋ직원최고다..ㅋㅋ 다시가고싶지않음
143,3120.0,나쁨,파트너가 진짜 불친절
144,3145.0,나쁨,스타벅스 가본 곳 중에 가장 허름하고 1층에서4층까지 계단타고 등산해야해요 의자도 너무허름하고 최악인 스벅
145,3169.0,나쁨,정말 다 좋은데 ...... 매장에 있는 많은 사람들이 추워하고 심지어 카운터 직원분께 담요까지 찾는 사람도 있던데 에어컨 온도가 ..... 코로나때문에 다들 예민한데 기침해서 눈치보여요 ㅠ
146,3218.0,나쁨,직원분이 엄청나게 불친절하네요.. 한번도 이런적이 없었는데 정말 다시 오고싶지않네요... 더 할말이 없어요..
147,3219.0,나쁨,싸이렌 오더 언제 없앨꺼냐?
148,3236.0,나쁨,정말 여기 직원들 X가지 없습니다 많은걸 바라는게 아닌데 기본적인 주문하는것부터 너무 퉁명스럽고 짜증을 내시네요ㅎㅎ 옆 스타벅스 갑니다
149,3281.0,나쁨,자리가 너무 없고 직원분들도 대충 일하시는 느낌
150,3330.0,나쁨,웬지 친절하지 않은ㅠ
151,3403.0,나쁨,콘센트 부족.. 자리 불편
152,3407.0,나쁨,"평소 자주 애용하는곳인데 오늘따라 커피맛도 완전 맛없고 거의 아메리카노에 우유조금, 초코시럽 아주 살짝 넣은 느낌? 모카인데 밍 밍한 맛이 났다면 이해하실까요? 포장한 케이크는 완전히 눕혀져서 포장되어 왔습니다.주신그대로 받아와 흔들림도 없었는데 열어 보고 당황.. 왜 이렇게 넣어주신거에요? 그냥 그러려니 치고 음료 먹었는데 음료조차 너무 맛없어서 리뷰씁니다.케이크 맛도 ..."
153,3412.0,나쁨,주문 너무 느려요 !!ㅠㅠ
154,3422.0,나쁨,직원들 너무 불친절..
155,,좋음,넓고 좋은분위기에용
156,0.0,보통,맛있어요 대기를 많이 해서 좀
157,4.0,나쁨,스위티 라임 블렌디드 벤티 시켯는데 밍밍하니 맛없네용
158,12.0,나쁨,사람이너무많아ㅠㅠ 안갈래
159,15.0,좋음,역시 스벅은 진리!!
160,16.0,나쁨,오늘은 2층에 왔더니 덥네요
161,23.0,보통,"음료는 맛있었지만 손님들의 무례 무신경 문제가 커 보인다. 마스크 내내 벗고 있는 손님들, 나이든 손님들이라 어린 파트너들이 감히 어떤 방역 안내도 못 하고 있는 것 같았음.....모두들 좀 신경쓰면 좋겠다. 심각할 때 테이크아웃만 가능하던 시기로 다시 돌아가고 싶지 않다, 정말."
162,30.0,보통,선물했는데 너무 좋아하셔서 저도 좋네요 ㅎㅎㅎ 역시 스타벅스가 선물하기는 좋은것같아요 그래도 최대한 불매중.. 본사의 마인 드개선이 천천히 조금이라도 바뀌면 좋겠뜸ㅋㅋ
163,34.0,보통,콘센트 좌석이 진짜 적고 매장 자체도 작은데 역 바로 앞이라 사람이 많아요 화장실도 건물 공용
164,39.0,보통,약속 때문에 왓는데. 커피 말고 티가 별로 없어요
165,43.0,나쁨,음료가 다른 지점에 비해 너무 맛없다... 차라리 4번출구 앞이 더 괜찮음.
166,47.0,나쁨,콜드브루가 다 탄맛이 나서ㅠㅠ 결국 다 못마셨어요ㅜㅜ흑
167,52.0,좋음,굿즈도 이쁘고 좋아요
168,53.0,나쁨,콘센트가 창쪽자리에만 있는 듯 했어요. 안쪽 푹신한 벽소파 자리엔 없어서 조금 당황했네요.
169,62.0,나쁨,사람이 너무너무 많아요 ㅜㅜ ㅔ
170,68.0,나쁨,역앞에 있는 스타벅스 종종 들리는데 비교적 작고 화장실이 건물 공용화장실라 좀 불편하다.
171,77.0,보통,언제나 사람 한가득
172,86.0,좋음,역시 스벅커피는 일품이네요
173,110.0,보통,걍 평범.. 출입금지 선이 너무 많이 쳐 있어서 범죄 현장 같이 을씨년 스럽기도..
174,111.0,보통,분위기 좋고 맛도 항상 일정해 좋음
175,114.0,나쁨,사람 정말 많아요... 자리없음 ㅠㅠ
176,133.0,나쁨,사람 너무 많고 매장은 작아요
177,148.0,나쁨,"커피숍인데 한사람이와서 4명이나 6명자리 앉아서 가지도 않고 주구장천 앉아있고, 대화하기도 불편하게 처다봄 무슨 독서실인줄"
178,165.0,보통,건대 영화보러 갈때 이용
179,177.0,보통,직원완전친절해요 이벤트음료라시켜봤는데ㅠㅠ 스벅의빨대로먹다가 빨대 다막혔어요ㅠ
180,178.0,나쁨,평일 오후인데도 자리 너무 없네요
181,181.0,나쁨,레시어 가나슈 케잌은 너무 헤비
182,182.0,좋음,잘 마시고 갑니다 ㅎ
183,199.0,나쁨,드라이브 스루를 주로하는 단골매장인데 퍼스널오더를 잘 안 들어주는 것 같아요 얼음 적게나 자바칩 많이 넣어달라고 요청했는데 막상 받아보면 기본옵션이랑 차이를 모르겠어요ㅠ
184,200.0,좋음,"건물 외부는 전통 기와로 되어있고, 내부는 좌식테이블로 구성되어 있어 색다른 스타벅스를 이용할 수 있었습니다!"
185,202.0,보통,"스타벅스 좋아하는데, 주차자리가 부족하고 저녁9시까지만 영업하니까 불편해서 다시 이용 안할듯"
186,205.0,좋음,인근 카페 중 매장 큰 편이고 쾌적했어요 친절하셨구요
187,229.0,나쁨,매장이좁아서답답 ㆍ
188,231.0,보통,위치는 딱 좋은데 항상 사람이 많아요. 특히 주말엔 아이를 동반한 부부가 많아서 소란스럽기까지
189,243.0,보통,아메리카노가 조 연했어요ㅜ
190,249.0,나쁨,신제품의 밀크폼이 참.... 안타까웠습니다
191,250.0,나쁨,커피맛은 그저 그랬음...
192,263.0,나쁨,주변에 학생들과 회사원이 너무 많은데 주문하려면 5분넘게 기다려야함. 공부할수 없는 공간인건 좋지만 반면에 너무 시끄럽게 공간이 설계되어 있어서 분위기가 좋지않았다
193,283.0,나쁨,친절하지 않는 직원
194,285.0,나쁨,리저브 캐맥스 잘 안됨..
